title,title_fa,overview,overview_fa,release_date,poster_path,backdrop_path,imdb_rating,tmdb_rating,runtime,original_language,genres,director,cast,keywords,is_tv_series
The Godfather #18,پدرخوانده 18,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#18.jpg,https://example.com/backdrop/the_godfather_#18.jpg,9.5,9.0,107,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
The Godfather #19,پدرخوانده 19,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#19.jpg,https://example.com/backdrop/the_godfather_#19.jpg,9.7,8.0,122,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
The Godfather #20,پدرخوانده 20,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#20.jpg,https://example.com/backdrop/the_godfather_#20.jpg,8.7,9.3,105,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
A Separation #21,جدایی نادر از سیمین 21,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#21.jpg,https://example.com/backdrop/a_separation_#21.jpg,8.2,7.1,122,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
The Dark Knight #22,شوالیه تاریکی 22,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#22.jpg,https://example.com/backdrop/the_dark_knight_#22.jpg,9.8,7.2,106,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
The Dark Knight #23,شوالیه تاریکی 23,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#23.jpg,https://example.com/backdrop/the_dark_knight_#23.jpg,9.3,7.4,133,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
The Godfather #24,پدرخوانده 24,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#24.jpg,https://example.com/backdrop/the_godfather_#24.jpg,7.7,8.1,139,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
A Separation #25,جدایی نادر از سیمین 25,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#25.jpg,https://example.com/backdrop/a_separation_#25.jpg,9.7,6.9,124,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
Children of Heaven #26,بچه‌های آسمان 26,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#26.jpg,https://example.com/backdrop/children_of_heaven_#26.jpg,8.0,6.7,130,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
Parasite #27,انگل 27,Greed and class discrimination threaten the newly formed symbiotic relationship...,روابط پیچیده میان دو خانواده از طبقات مختلف کره‌ای.,2019-05-30,https://example.com/poster/parasite_#27.jpg,https://example.com/backdrop/parasite_#27.jpg,9.5,8.8,102,ko,"Drama, Thriller",Bong Joon-ho,['Song Kang-ho'],"['class', 'inequality']",False
A Separation #28,جدایی نادر از سیمین 28,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#28.jpg,https://example.com/backdrop/a_separation_#28.jpg,7.9,9.1,123,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
Children of Heaven #29,بچه‌های آسمان 29,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#29.jpg,https://example.com/backdrop/children_of_heaven_#29.jpg,9.1,6.6,104,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
The Dark Knight #30,شوالیه تاریکی 30,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#30.jpg,https://example.com/backdrop/the_dark_knight_#30.jpg,9.1,8.2,89,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
The Dark Knight #31,شوالیه تاریکی 31,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#31.jpg,https://example.com/backdrop/the_dark_knight_#31.jpg,8.5,9.0,91,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
The Godfather #32,پدرخوانده 32,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#32.jpg,https://example.com/backdrop/the_godfather_#32.jpg,8.6,8.2,149,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
The Godfather #33,پدرخوانده 33,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#33.jpg,https://example.com/backdrop/the_godfather_#33.jpg,8.8,9.2,100,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
Children of Heaven #34,بچه‌های آسمان 34,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#34.jpg,https://example.com/backdrop/children_of_heaven_#34.jpg,9.5,7.6,88,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
The Godfather #35,پدرخوانده 35,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#35.jpg,https://example.com/backdrop/the_godfather_#35.jpg,9.1,7.7,127,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
Children of Heaven #36,بچه‌های آسمان 36,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#36.jpg,https://example.com/backdrop/children_of_heaven_#36.jpg,7.1,8.1,99,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
The Godfather #37,پدرخوانده 37,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#37.jpg,https://example.com/backdrop/the_godfather_#37.jpg,9.2,7.5,94,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
The Dark Knight #38,شوالیه تاریکی 38,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#38.jpg,https://example.com/backdrop/the_dark_knight_#38.jpg,9.5,8.6,80,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
A Separation #39,جدایی نادر از سیمین 39,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#39.jpg,https://example.com/backdrop/a_separation_#39.jpg,9.7,8.8,115,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
Children of Heaven #40,بچه‌های آسمان 40,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#40.jpg,https://example.com/backdrop/children_of_heaven_#40.jpg,9.7,7.1,83,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
Parasite #41,انگل 41,Greed and class discrimination threaten the newly formed symbiotic relationship...,روابط پیچیده میان دو خانواده از طبقات مختلف کره‌ای.,2019-05-30,https://example.com/poster/parasite_#41.jpg,https://example.com/backdrop/parasite_#41.jpg,9.7,8.9,81,ko,"Drama, Thriller",Bong Joon-ho,['Song Kang-ho'],"['class', 'inequality']",False
The Godfather #42,پدرخوانده 42,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#42.jpg,https://example.com/backdrop/the_godfather_#42.jpg,9.6,7.7,150,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
The Godfather #43,پدرخوانده 43,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#43.jpg,https://example.com/backdrop/the_godfather_#43.jpg,9.2,8.3,143,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
A Separation #44,جدایی نادر از سیمین 44,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#44.jpg,https://example.com/backdrop/a_separation_#44.jpg,8.1,6.7,103,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
The Godfather #45,پدرخوانده 45,The aging patriarch of an organized crime dynasty...,رییس پیر یک خاندان مافیایی قدرت را به پسرش منتقل می‌کند.,1972-03-24,https://example.com/poster/the_godfather_#45.jpg,https://example.com/backdrop/the_godfather_#45.jpg,8.6,7.0,105,en,"Crime, Drama",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']","['mafia', 'family']",False
The Dark Knight #46,شوالیه تاریکی 46,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#46.jpg,https://example.com/backdrop/the_dark_knight_#46.jpg,7.4,7.4,112,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
The Dark Knight #47,شوالیه تاریکی 47,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#47.jpg,https://example.com/backdrop/the_dark_knight_#47.jpg,9.7,8.5,96,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
A Separation #48,جدایی نادر از سیمین 48,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#48.jpg,https://example.com/backdrop/a_separation_#48.jpg,8.7,8.3,88,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
Children of Heaven #49,بچه‌های آسمان 49,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#49.jpg,https://example.com/backdrop/children_of_heaven_#49.jpg,8.8,9.0,92,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
Children of Heaven #50,بچه‌های آسمان 50,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#50.jpg,https://example.com/backdrop/children_of_heaven_#50.jpg,9.6,9.1,104,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
The Dark Knight #51,شوالیه تاریکی 51,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#51.jpg,https://example.com/backdrop/the_dark_knight_#51.jpg,8.0,7.2,122,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
A Separation #52,جدایی نادر از سیمین 52,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#52.jpg,https://example.com/backdrop/a_separation_#52.jpg,8.0,7.8,101,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
A Separation #53,جدایی نادر از سیمین 53,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#53.jpg,https://example.com/backdrop/a_separation_#53.jpg,9.2,7.8,100,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
A Separation #54,جدایی نادر از سیمین 54,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#54.jpg,https://example.com/backdrop/a_separation_#54.jpg,8.8,9.3,87,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
A Separation #55,جدایی نادر از سیمین 55,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#55.jpg,https://example.com/backdrop/a_separation_#55.jpg,9.6,6.8,97,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
Parasite #56,انگل 56,Greed and class discrimination threaten the newly formed symbiotic relationship...,روابط پیچیده میان دو خانواده از طبقات مختلف کره‌ای.,2019-05-30,https://example.com/poster/parasite_#56.jpg,https://example.com/backdrop/parasite_#56.jpg,9.1,8.9,94,ko,"Drama, Thriller",Bong Joon-ho,['Song Kang-ho'],"['class', 'inequality']",False
A Separation #57,جدایی نادر از سیمین 57,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#57.jpg,https://example.com/backdrop/a_separation_#57.jpg,8.9,8.7,110,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
Children of Heaven #58,بچه‌های آسمان 58,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#58.jpg,https://example.com/backdrop/children_of_heaven_#58.jpg,8.1,6.8,132,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
A Separation #59,جدایی نادر از سیمین 59,A married couple face a difficult decision...,یک زوج ایرانی در آستانه‌ی طلاق با واقعیت‌های پیچیده‌ای مواجه می‌شوند.,2011-03-15,https://example.com/poster/a_separation_#59.jpg,https://example.com/backdrop/a_separation_#59.jpg,8.5,7.9,110,fa,Drama,Asghar Farhadi,"['Leila Hatami', 'Peyman Moaadi']","['divorce', 'family', 'Iran']",False
Parasite #60,انگل 60,Greed and class discrimination threaten the newly formed symbiotic relationship...,روابط پیچیده میان دو خانواده از طبقات مختلف کره‌ای.,2019-05-30,https://example.com/poster/parasite_#60.jpg,https://example.com/backdrop/parasite_#60.jpg,7.5,6.8,119,ko,"Drama, Thriller",Bong Joon-ho,['Song Kang-ho'],"['class', 'inequality']",False
The Dark Knight #61,شوالیه تاریکی 61,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#61.jpg,https://example.com/backdrop/the_dark_knight_#61.jpg,8.1,7.1,85,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
Parasite #62,انگل 62,Greed and class discrimination threaten the newly formed symbiotic relationship...,روابط پیچیده میان دو خانواده از طبقات مختلف کره‌ای.,2019-05-30,https://example.com/poster/parasite_#62.jpg,https://example.com/backdrop/parasite_#62.jpg,9.0,7.5,110,ko,"Drama, Thriller",Bong Joon-ho,['Song Kang-ho'],"['class', 'inequality']",False
The Dark Knight #63,شوالیه تاریکی 63,Batman sets out to dismantle the remaining criminal organizations...,بتمن تلاش می‌کند گاتهام را از جنایتکاران پاک کند.,2008-07-18,https://example.com/poster/the_dark_knight_#63.jpg,https://example.com/backdrop/the_dark_knight_#63.jpg,9.0,6.6,111,en,"Action, Crime, Drama",Christopher Nolan,"['Christian Bale', 'Heath Ledger']","['joker', 'chaos', 'vigilante']",False
Children of Heaven #64,بچه‌های آسمان 64,A boy loses his sister's shoes...,پسری کفش خواهرش را گم می‌کند و تلاش می‌کند آن را جایگزین کند.,1997-02-01,https://example.com/poster/children_of_heaven_#64.jpg,https://example.com/backdrop/children_of_heaven_#64.jpg,8.6,8.2,113,fa,"Drama, Family",Majid Majidi,['Amir Farrokh Hashemian'],"['shoes', 'poverty', 'siblings']",False
